exporter,country,export,color,year
France,US,2.356,"#897E7A",2017
France,Canada,1.140,"#FFBE36",2017
France,Spain,0.191,"#6D93C5",2017
France,Australia,0.303,"#CD6596",2017
France,Argentina,0.067,"#A6D8D1",2017
Australia,US,0.62,"#897E7A",2017
US,France,0.190,"#E65C00",2017
US,Canada,0.76,"#FFBE36",2017
US,Italy,0.026,"#43B59E",2017
US,Spain,0.021,"#6D93C5",2017
US,Australia,0.311,"#CD6596",2017
Spain,US,1.426,"#897E7A",2017
Spain,France,0.476,"#E65C00",2017
Spain,Italy,0.144,"#43B59E",2017
Argentina,US,0.31,"#897E7A",2017
Canada,US,0.062,"#897E7A",2017
Italy,US,1.426,"#897E7A",2017
Italy,France,0.190,"#E65C00",2017
France,US,2.206,"#897E7A",2013
France,Canada,1.140,"#FFBE36",2013
France,Spain,0.191,"#6D93C5",2013
France,Australia,0.303,"#CD6596",2013
France,Argentina,0.067,"#A6D8D1",2013
Australia,US,0.441,"#897E7A",2013
US,France,0.190,"#E65C00",2013
US,Canada,0.76,"#FFBE36",2013
US,Italy,0.0217,"#43B59E",2013
US,Spain,0.021,"#6D93C5",2013
US,Australia,0.312,"#CD6596",2013
Spain,US,1.103,"#897E7A",2013
Spain,France,0.476,"#E65C00",2013
Spain,Italy,0.144,"#43B59E",2013
Argentina,US,0.221,"#897E7A",2013
Canada,US,0.044,"#897E7A",2013
Italy,US,1.103,"#897E7A",2013
Italy,France,0.190,"#E65C00",2013