importer,country,import,color,year
France,US,0.190,"#897E7A",2017
France,Italy,0.190,"#43B59E",2017
France,Spain,0.476,"#6D93C5",2017
Australia,US,0.312,"#897E7A",2017
Australia,France,0.303,"#E65C00",2017
US,France,2.356,"#E65C00",2017
US,Italy,1.426,"#43B59E",2017
US,Spain,1.426,"#6D93C5",2017
US,Australia,0.62,"#CD6596",2017
US,Argentina,0.31,"#A6D8D1",2017
US,Canada,0.062,"#FFBE36",2017
Spain,US,0.021,"#897E7A",2017
Spain,France,0.191,"#E65C00",2017
Argentina,France,0.067,"#E65C00",2017
Canada,US,0.76,"#897E7A",2017
Canada,France,1.14,"#E65C00",2017
Italy,US,0.217,"#897E7A",2017
Italy,Spain,0.144,"#6D93C5",2017
France,US,0.190,"#897E7A",2013
France,Italy,0.190,"#43B59E",2013
France,Spain,0.476,"#6D93C5",2013
Australia,US,0.312,"#897E7A",2013
Australia,France,0.303,"#E65C00",2013
US,France,2.206,"#E65C00",2013
US,Italy,1.103,"#43B59E",2013
US,Spain,1.103,"#6D93C5",2013
US,Australia,0.441,"#CD6596",2013
US,Argentina,0.221,"#A6D8D1",2013
US,Canada,0.441,"#FFBE36",2013
Spain,US,0.021,"#897E7A",2013
Spain,France,0.191,"#E65C00",2013
Argentina,France,0.067,"#E65C00",2013
Canada,US,0.76,"#897E7A",2013
Canada,France,1.14,"#E65C00",2013
Italy,US,0.217,"#897E7A",2013
Italy,Spain,0.144,"#6D93C5",2013